"","COM_SECT","Posttown","Quotes","HH","QuotesPCT","expPCT","antiSoc_hh","bikeTheft_hh","burglary_hh","damageAndArson_hh","drugs_hh","other_hh","theft_hh","publicOrder_hh","robbery_hh","shoplifting_hh","theftPerson_hh","vehicleCrime_hh","violence_hh","weapons_hh","totalCrimes_hh","fire_hh","falseAlarm_hh","specialService_hh","totalFires_hh"
"235","WC1H 9","WC"," 46 ",76,"0.0017%","0.0051%",4.90789473684211,0.657894736842105,1.61842105263158,0.539473684210526,0.223684210526316,0.0789473684210526,2.55263157894737,0.0263157894736842,0.328947368421053,0.802631578947368,0.105263157894737,4,2.35526315789474,1.96052631578947,20.1578947368421,0.184210526315789,0.815789473684211,0.421052631578947,1.42105263157895
"236","NW5 3","NW"," 91 ",82,"0.0034%","0.0055%",4.40243902439024,0.207317073170732,0.963414634146341,0.670731707317073,0.378048780487805,0.121951219512195,1.57317073170732,0.0487804878048781,1.01219512195122,0.804878048780488,0.573170731707317,2.41463414634146,0.804878048780488,3.07317073170732,17.0487804878049,0.121951219512195,0.646341463414634,0.5,1.26829268292683
"237","W1T 5","W"," -   ",83,"","0.0056%",0.698795180722892,0.132530120481928,0.253012048192771,0.156626506024096,0.036144578313253,0.0120481927710843,1.40963855421687,0.036144578313253,0.168674698795181,0.144578313253012,0.132530120481928,0.855421686746988,0.0481927710843374,0.686746987951807,4.7710843373494,0.132530120481928,0.132530120481928,0.036144578313253,0.301204819277108
"238","W1G 9","W"," 9 ",84,"0.0003%","0.0056%",0.488095238095238,0.0476190476190476,0.333333333333333,0.119047619047619,0.0119047619047619,0.0119047619047619,0.238095238095238,0.0119047619047619,0.0595238095238095,0.0357142857142857,0,0.357142857142857,1.35714285714286,0.25,3.32142857142857,0.0357142857142857,0.738095238095238,0.0833333333333333,0.857142857142857
"239","W1H 5","W"," -   ",85,"","0.0057%",1.54117647058824,0.164705882352941,0.482352941176471,0.341176470588235,0.0823529411764706,0.0941176470588235,1.38823529411765,0.0705882352941176,0.611764705882353,0.447058823529412,0.611764705882353,0.576470588235294,0.776470588235294,1.55294117647059,8.74117647058823,0.0352941176470588,0.282352941176471,0.235294117647059,0.552941176470588
"240","SW7 2","SW"," 9 ",85,"0.0003%","0.0057%",3.16470588235294,1.10588235294118,0.905882352941176,0.270588235294118,0.776470588235294,0.117647058823529,4.55294117647059,0.188235294117647,0.376470588235294,0.270588235294118,0.211764705882353,1.23529411764706,1,1.58823529411765,15.7647058823529,0.152941176470588,0.882352941176471,0.352941176470588,1.38823529411765
"241","N13 6","N"," 36 ",85,"0.0013%","0.0057%",2.72941176470588,0.0705882352941176,1.37647058823529,0.764705882352941,0.376470588235294,0.117647058823529,0.576470588235294,0.0588235294117647,0.458823529411765,0.188235294117647,0.0823529411764706,0.176470588235294,2,2.22352941176471,11.2,0.235294117647059,0.4,0.458823529411765,1.09411764705882
"242","SW1W 9","SW"," 46 ",86,"0.0017%","0.0058%",3.33720930232558,0.0465116279069767,0.523255813953488,0.290697674418605,0.802325581395349,0.162790697674419,4.05813953488372,0.104651162790698,0.813953488372093,0.372093023255814,0.255813953488372,1.19767441860465,0.627906976744186,1.88372093023256,14.4767441860465,0.186046511627907,1.2093023255814,0.348837209302326,1.74418604651163
"243","W1T 6","W"," 18 ",88,"0.0007%","0.0059%",0.318181818181818,0.0909090909090909,0.284090909090909,0.0795454545454545,0.0113636363636364,0.0227272727272727,0.409090909090909,0.0113636363636364,0.136363636363636,0.0909090909090909,0,0.522727272727273,0.0454545454545455,0.227272727272727,2.25,0.0340909090909091,0.261363636363636,0.102272727272727,0.397727272727273
"244","E1 6","E"," 36 ",88,"0.0013%","0.0059%",8.375,1.73863636363636,1.63636363636364,1,0.886363636363636,0.147727272727273,4.40909090909091,0.204545454545455,1,0.829545454545455,2.125,2.71590909090909,0.886363636363636,3.40909090909091,29.3636363636364,0.284090909090909,1.36363636363636,0.488636363636364,2.13636363636364
"245","NW1 4","NW"," 109 ",88,"0.0040%","0.0059%",2.05681818181818,0.238636363636364,0.647727272727273,0.340909090909091,0.284090909090909,0.0681818181818182,1.31818181818182,0.0227272727272727,0.613636363636364,0.409090909090909,0.125,1.09090909090909,0.943181818181818,1.53409090909091,9.69318181818182,0.147727272727273,1.22727272727273,0.397727272727273,1.77272727272727
"246","E1W 2","E"," 228 ",88,"0.0084%","0.0059%",2.90909090909091,0.204545454545455,0.375,0.25,0.102272727272727,0.0340909090909091,1.45454545454545,0.0340909090909091,0.25,0.159090909090909,0.238636363636364,0.465909090909091,0.784090909090909,1.07954545454545,8.34090909090909,0.0909090909090909,0.193181818181818,0.181818181818182,0.465909090909091
"247","W1U 4","W"," 9 ",89,"0.0003%","0.0060%",0.179775280898876,0.112359550561798,0.157303370786517,0.0449438202247191,0.0224719101123595,0.0224719101123595,0.674157303370786,0,0.0898876404494382,0.0674157303370786,0.898876404494382,0.269662921348315,0.280898876404494,0.213483146067416,3.03370786516854,0.0337078651685393,0.292134831460674,0.0337078651685393,0.359550561797753
"248","SW1X 9","SW"," 18 ",90,"0.0007%","0.0060%",0.944444444444444,0.1,0.744444444444444,0.288888888888889,0.377777777777778,0.0222222222222222,0.855555555555556,0.0444444444444444,0.233333333333333,0.444444444444444,1.64444444444444,0.433333333333333,2.56666666666667,0.7,9.4,0.1,1.47777777777778,0.233333333333333,1.81111111111111
"249","SE21 7","SE"," 36 ",89,"0.0013%","0.0060%",0.707865168539326,0.314606741573034,1.66292134831461,0.471910112359551,0.112359550561798,0.0112359550561798,0.51685393258427,0.0224719101123595,0.134831460674157,0.775280898876405,0.0224719101123595,0.112359550561798,1.21348314606742,0.471910112359551,6.55056179775281,0.134831460674157,0.651685393258427,0.224719101123595,1.01123595505618
"250","E1 8","E"," 100 ",90,"0.0037%","0.0060%",8.92222222222222,0.422222222222222,0.9,0.777777777777778,0.388888888888889,0.0666666666666667,1.65555555555556,0.0888888888888889,0.555555555555556,0.266666666666667,0.377777777777778,0.277777777777778,1.94444444444444,2.43333333333333,19.0777777777778,0.144444444444444,1.02222222222222,0.766666666666667,1.93333333333333
"251","W1H 2","W"," 18 ",91,"0.0007%","0.0061%",0.32967032967033,0.043956043956044,0.351648351648352,0.0549450549450549,0.021978021978022,0,0.142857142857143,0,0.0549450549450549,0.032967032967033,0.010989010989011,0.164835164835165,0.373626373626374,0.131868131868132,1.71428571428571,0.032967032967033,0.164835164835165,0.0549450549450549,0.252747252747253
"252","NW1 3","NW"," 73 ",91,"0.0027%","0.0061%",3.69230769230769,0.252747252747253,0.681318681318681,0.648351648351648,0.406593406593407,0.0769230769230769,1.40659340659341,0.10989010989011,0.505494505494505,0.395604395604396,0.175824175824176,1.51648351648352,0.593406593406593,2.53846153846154,13,0.252747252747253,0.912087912087912,0.912087912087912,2.07692307692308
"253","W1U 5","W"," 9 ",92,"0.0003%","0.0062%",1.16304347826087,0.0434782608695652,0.119565217391304,0.0869565217391304,0.0543478260869565,0.0326086956521739,0.793478260869565,0.0108695652173913,0.0652173913043478,0.0543478260869565,0.0760869565217391,0.16304347826087,0.293478260869565,0.271739130434783,3.22826086956522,0.0217391304347826,0.58695652173913,0.260869565217391,0.869565217391304
"254","NW6 2","NW"," 9 ",93,"0.0003%","0.0062%",2.03225806451613,0.0967741935483871,1.21505376344086,0.645161290322581,0.225806451612903,0.10752688172043,0.741935483870968,0.010752688172043,0.526881720430108,0.376344086021505,0.118279569892473,0.860215053763441,1.59139784946237,2.33333333333333,10.8817204301075,0.225806451612903,1.02150537634409,0.494623655913978,1.74193548387097
"255","W1U 6","W"," 9 ",96,"0.0003%","0.0064%",1.39583333333333,0.0729166666666667,0.59375,0.15625,0.0833333333333333,0.0729166666666667,1.72916666666667,0.0104166666666667,0.3125,0.208333333333333,0.364583333333333,0.635416666666667,0.458333333333333,0.739583333333333,6.83333333333333,0.114583333333333,0.520833333333333,0.229166666666667,0.864583333333333
"256","SW3 6","SW"," 82 ",95,"0.0030%","0.0064%",0.894736842105263,0.305263157894737,0.505263157894737,0.336842105263158,0.515789473684211,0.0947368421052632,1.30526315789474,0.0210526315789474,0.347368421052632,0.221052631578947,0.210526315789474,0.410526315789474,2.06315789473684,1.26315789473684,8.49473684210526,0.0631578947368421,1.48421052631579,0.115789473684211,1.66315789473684
"257","N22 7","N"," 228 ",96,"0.0084%","0.0064%",2.71875,0.15625,0.947916666666667,0.770833333333333,0.427083333333333,0.104166666666667,1.125,0.104166666666667,0.572916666666667,0.635416666666667,0.0208333333333333,1.33333333333333,1.40625,2.78125,13.1041666666667,0.177083333333333,0.708333333333333,0.260416666666667,1.14583333333333
"258","WC1X 9","WC"," 73 ",97,"0.0027%","0.0065%",3.2680412371134,0.309278350515464,1.28865979381443,0.804123711340206,0.680412371134021,0.134020618556701,2.09278350515464,0.0618556701030928,0.814432989690722,0.56701030927835,0.175257731958763,1.49484536082474,1.30927835051546,2.18556701030928,15.1855670103093,0.154639175257732,0.618556701030928,0.474226804123711,1.24742268041237
"259","SW7 3","SW"," 82 ",99,"0.0030%","0.0066%",1,0.111111111111111,0.454545454545455,0.232323232323232,0.181818181818182,0.0202020202020202,0.717171717171717,0.0303030303030303,0.171717171717172,0.131313131313131,0.353535353535354,0.121212121212121,1.07070707070707,0.535353535353535,5.13131313131313,0.151515151515152,0.555555555555556,0.232323232323232,0.939393939393939
"260","W1J 7","W"," -   ",102,"","0.0068%",1.79411764705882,0.0784313725490196,0.431372549019608,0.215686274509804,0.147058823529412,0.0588235294117647,2.1078431372549,0.0490196078431373,0.294117647058824,0.235294117647059,0.0882352941176471,0.568627450980392,0.803921568627451,0.813725490196078,7.68627450980392,0.156862745098039,0.823529411764706,0.215686274509804,1.19607843137255
"261","W1H 7","W"," 9 ",102,"0.0003%","0.0068%",2.04901960784314,0.156862745098039,0.686274509803922,0.245098039215686,0.176470588235294,0.0588235294117647,2.26470588235294,0.0294117647058824,0.558823529411765,0.598039215686274,0.696078431372549,1.94117647058824,1.85294117647059,1.73529411764706,13.0490196078431,0.156862745098039,0.705882352941177,0.225490196078431,1.08823529411765
"262","SW7 5","SW"," 27 ",102,"0.0010%","0.0068%",1.40196078431373,0.196078431372549,0.950980392156863,0.343137254901961,0.558823529411765,0.107843137254902,1.80392156862745,0.00980392156862745,0.254901960784314,0.225490196078431,0.0588235294117647,0.529411764705882,1.04901960784314,1.04901960784314,8.53921568627451,0.166666666666667,0.833333333333333,0.519607843137255,1.51960784313725
"263","SW1P 2","SW"," 64 ",102,"0.0024%","0.0068%",5.72549019607843,0.176470588235294,0.705882352941177,0.784313725490196,0.196078431372549,0.0392156862745098,1.51960784313725,0.0784313725490196,0.941176470588235,0.205882352941176,0.186274509803922,0.362745098039216,0.46078431372549,3.65686274509804,15.0392156862745,0.186274509803922,1.16666666666667,0.509803921568627,1.86274509803922
"264","SE1 6","SE"," 100 ",102,"0.0037%","0.0068%",3.87254901960784,0.696078431372549,0.647058823529412,1.09803921568627,1.54901960784314,0.235294117647059,3.56862745098039,0.176470588235294,1,0.901960784313726,1.08823529411765,2.06862745098039,0.823529411764706,4.20588235294118,21.9313725490196,0.352941176470588,0.882352941176471,0.568627450980392,1.80392156862745
"265","SE11 6","SE"," 228 ",101,"0.0084%","0.0068%",1.89108910891089,0.158415841584158,0.475247524752475,0.514851485148515,0.475247524752475,0.0792079207920792,0.742574257425743,0.0594059405940594,0.297029702970297,0.306930693069307,0.0792079207920792,0.188118811881188,0.524752475247525,2.16831683168317,7.96039603960396,0.247524752475248,0.891089108910891,0.732673267326733,1.87128712871287
"266","SW1X 8","SW"," -   ",103,"","0.0069%",0.485436893203884,0.058252427184466,0.174757281553398,0.16504854368932,0.0485436893203883,0.0388349514563107,0.398058252427184,0,0.135922330097087,0.12621359223301,0.184466019417476,0.116504854368932,0.533980582524272,0.553398058252427,3.01941747572816,0.0679611650485437,0.737864077669903,0.223300970873786,1.02912621359223
"267","W6 7","W"," 27 ",103,"0.0010%","0.0069%",2.42718446601942,0.553398058252427,1.03883495145631,0.553398058252427,0.349514563106796,0.0776699029126214,1.74757281553398,0.135922330097087,0.747572815533981,0.223300970873786,0.990291262135922,0.41747572815534,1.37864077669903,2.35922330097087,13,0.116504854368932,0.679611650485437,0.29126213592233,1.0873786407767
"268","W5 5","W"," 27 ",104,"0.0010%","0.0070%",4.57692307692308,0.634615384615385,1.26923076923077,0.846153846153846,0.423076923076923,0.153846153846154,2.83653846153846,0.125,1.23076923076923,0.423076923076923,4.14423076923077,1.39423076923077,1.45192307692308,4.29807692307692,23.8076923076923,0.298076923076923,0.528846153846154,0.346153846153846,1.17307692307692
"269","N6 6","N"," 9 ",106,"0.0003%","0.0071%",1.58490566037736,0.160377358490566,0.754716981132076,0.30188679245283,0.10377358490566,0.0471698113207547,0.415094339622642,0.0283018867924528,0.188679245283019,0.150943396226415,0.0660377358490566,0.377358490566038,1.02830188679245,0.707547169811321,5.91509433962264,0.0849056603773585,0.386792452830189,0.141509433962264,0.613207547169811
"270","W1G 6","W"," -   ",108,"","0.0072%",0.324074074074074,0.0185185185185185,0.157407407407407,0.0648148148148148,0.00925925925925926,0,0.277777777777778,0,0.0462962962962963,0.037037037037037,0.203703703703704,0.148148148148148,0.453703703703704,0.240740740740741,1.98148148148148,0.0555555555555556,0.583333333333333,0.0740740740740741,0.712962962962963
"271","SE1 0","SE"," 164 ",107,"0.0061%","0.0072%",3.51401869158878,0.775700934579439,1.8785046728972,0.88785046728972,0.467289719626168,0.11214953271028,2.24299065420561,0.0654205607476635,0.570093457943925,0.514018691588785,0.514018691588785,1.2803738317757,0.934579439252336,2.4018691588785,16.1588785046729,0.252336448598131,1.20560747663551,0.364485981308411,1.82242990654206
"272","SW7 4","SW"," 36 ",109,"0.0013%","0.0073%",2.28440366972477,0.18348623853211,0.963302752293578,0.36697247706422,0.724770642201835,0.128440366972477,2.10091743119266,0.0275229357798165,0.302752293577982,0.302752293577982,0.458715596330275,0.422018348623853,1.6605504587156,1.32110091743119,11.2477064220183,0.174311926605505,0.917431192660551,0.559633027522936,1.65137614678899
"273","N12 7","N"," 46 ",109,"0.0017%","0.0073%",0.55045871559633,0.00917431192660551,0.642201834862385,0.128440366972477,0.0275229357798165,0.00917431192660551,0.110091743119266,0.00917431192660551,0.018348623853211,0.0458715596330275,0,0.0275229357798165,0.339449541284404,0.412844036697248,2.3302752293578,0.100917431192661,0.238532110091743,0.0642201834862385,0.403669724770642
"274","SE1 1","SE"," 137 ",109,"0.0051%","0.0073%",2.6697247706422,0.605504587155963,1.11926605504587,0.532110091743119,0.73394495412844,0.073394495412844,3.13761467889908,0.0917431192660551,0.495412844036697,0.577981651376147,0.247706422018349,1.56880733944954,0.623853211009174,2.55963302752294,15.0366972477064,0.137614678899083,1.04587155963303,0.357798165137615,1.54128440366972
"275","N7 7","N"," 200 ",109,"0.0074%","0.0073%",3.67889908256881,0.431192660550459,1.74311926605505,1.30275229357798,0.844036697247706,0.119266055045872,1.62385321100917,0.220183486238532,1,1.05504587155963,0.477064220183486,2.37614678899083,1.77981651376147,5.18348623853211,21.8348623853211,0.311926605504587,0.889908256880734,0.926605504587156,2.12844036697248
"276","SW7 1","SW"," 9 ",110,"0.0003%","0.0074%",0.927272727272727,0.0545454545454545,0.3,0.190909090909091,0.281818181818182,0.0545454545454545,1.62727272727273,0.00909090909090909,0.209090909090909,0.172727272727273,0.190909090909091,0.372727272727273,1,0.627272727272727,6.01818181818182,0.0636363636363636,0.490909090909091,0.136363636363636,0.690909090909091
"277","E1 3","E"," 82 ",110,"0.0030%","0.0074%",5.30909090909091,0.463636363636364,1.03636363636364,0.7,0.690909090909091,0.209090909090909,0.772727272727273,0.109090909090909,0.890909090909091,0.427272727272727,0.127272727272727,0.209090909090909,1.24545454545455,3.00909090909091,15.2,0.436363636363636,0.281818181818182,0.745454545454545,1.46363636363636
"278","E1 1","E"," 164 ",110,"0.0061%","0.0074%",9.09090909090909,0.809090909090909,1.74545454545455,1.42727272727273,0.936363636363636,0.209090909090909,3.16363636363636,0.209090909090909,1.68181818181818,0.709090909090909,0.218181818181818,1.24545454545455,2.02727272727273,5.23636363636364,28.7090909090909,0.5,1.24545454545455,0.781818181818182,2.52727272727273
"279","N16 9","N"," 173 ",110,"0.0064%","0.0074%",2.45454545454545,0.954545454545455,0.945454545454545,0.609090909090909,0.163636363636364,0.109090909090909,0.827272727272727,0.0818181818181818,0.481818181818182,0.372727272727273,0.0909090909090909,0.990909090909091,0.881818181818182,2.16363636363636,11.1272727272727,0.227272727272727,0.536363636363636,0.218181818181818,0.981818181818182
"280","W2 6","W"," 210 ",111,"0.0078%","0.0074%",4.63963963963964,0.45045045045045,1.73873873873874,0.738738738738739,0.207207207207207,0.126126126126126,1.88288288288288,0.0630630630630631,0.945945945945946,0.576576576576577,0.621621621621622,0.891891891891892,1.44144144144144,3.01801801801802,17.3423423423423,0.189189189189189,1.18018018018018,1.03603603603604,2.40540540540541
"281","SE16 6","SE"," 273 ",110,"0.0101%","0.0074%",1.37272727272727,0.190909090909091,0.509090909090909,0.336363636363636,0.145454545454545,0.0363636363636364,0.318181818181818,0,0.154545454545455,0.236363636363636,0,0.290909090909091,0.481818181818182,1.03636363636364,5.10909090909091,0.163636363636364,0.109090909090909,0.118181818181818,0.390909090909091
"282","SE1 7","SE"," 328 ",111,"0.0121%","0.0074%",6.73873873873874,1.10810810810811,1.2972972972973,1.27027027027027,1.38738738738739,0.234234234234234,6.92792792792793,0.198198198198198,1.85585585585586,0.90990990990991,0.477477477477477,3.72972972972973,0.936936936936937,5.44144144144144,32.5135135135135,0.405405405405405,1.27927927927928,1.27027027027027,2.95495495495495
"283","E8 1","E"," 182 ",112,"0.0067%","0.0075%",5.67857142857143,1.5,1.66964285714286,1.08035714285714,0.544642857142857,0.223214285714286,3.07142857142857,0.276785714285714,1.52678571428571,1.04464285714286,3.14285714285714,1.4375,1.5625,4.60714285714286,27.3660714285714,0.303571428571429,1.84821428571429,0.866071428571429,3.01785714285714
"284","E1W 3","E"," 301 ",112,"0.0111%","0.0075%",3.33035714285714,0.339285714285714,0.6875,0.678571428571429,0.214285714285714,0.0535714285714286,0.508928571428571,0.0625,0.428571428571429,0.258928571428571,0.0267857142857143,0.223214285714286,1.03571428571429,1.66071428571429,9.50892857142857,0.107142857142857,0.410714285714286,0.401785714285714,0.919642857142857
"285","N20 9","N"," 27 ",113,"0.0010%","0.0076%",0.548672566371681,0.079646017699115,0.725663716814159,0.212389380530973,0.132743362831858,0.115044247787611,0.504424778761062,0.0530973451327434,0.345132743362832,0.0973451327433628,0.345132743362832,0.168141592920354,0.619469026548673,1.01769911504425,4.9646017699115,0.0884955752212389,0.336283185840708,0.20353982300885,0.628318584070796
"286","N14 7","N"," 27 ",114,"0.0010%","0.0076%",0.807017543859649,0,0.991228070175439,0.184210526315789,0.043859649122807,0.0350877192982456,0.166666666666667,0,0.114035087719298,0.114035087719298,0.0087719298245614,0.087719298245614,1.02631578947368,0.640350877192982,4.21929824561404,0.0789473684210526,0.149122807017544,0.114035087719298,0.342105263157895
"287","SE1 8","SE"," 64 ",114,"0.0024%","0.0076%",3.92105263157895,1.23684210526316,1.20175438596491,0.692982456140351,1.06140350877193,0.131578947368421,4.74561403508772,0.0964912280701754,0.763157894736842,0.93859649122807,0.473684210526316,1.7719298245614,0.798245614035088,3.37719298245614,21.2105263157895,0.5,0.736842105263158,0.631578947368421,1.86842105263158
"288","W4 4","W"," 173 ",114,"0.0064%","0.0076%",2.17543859649123,0.456140350877193,0.964912280701754,0.491228070175439,0.0701754385964912,0.0263157894736842,0.728070175438597,0.0087719298245614,0.403508771929825,0.0964912280701754,0.596491228070175,0.166666666666667,1.7719298245614,1.02631578947368,8.98245614035088,0.184210526315789,0.333333333333333,0.271929824561404,0.789473684210526
"289","NW1 7","NW"," 73 ",115,"0.0027%","0.0077%",8.82608695652174,0.443478260869565,1.65217391304348,0.869565217391304,1.6695652173913,0.0695652173913043,4.06086956521739,0.104347826086957,1.58260869565217,1.34782608695652,2.72173913043478,3.33913043478261,1.14782608695652,5.47826086956522,33.3130434782609,0.191304347826087,1.28695652173913,0.452173913043478,1.9304347826087
"290","W8 4","W"," 27 ",117,"0.0010%","0.0078%",0.965811965811966,0.170940170940171,0.700854700854701,0.239316239316239,0.41025641025641,0.0769230769230769,1.78632478632479,0.0170940170940171,0.427350427350427,0.0256410256410256,1.23931623931624,0.427350427350427,0.367521367521368,1.04273504273504,7.8974358974359,0.0512820512820513,0.538461538461538,0.11965811965812,0.709401709401709
"291","N17 8","N"," 137 ",116,"0.0051%","0.0078%",5.26724137931035,0.112068965517241,1.13793103448276,1.04310344827586,0.870689655172414,0.189655172413793,1.12931034482759,0.224137931034483,0.922413793103448,0.922413793103448,0.53448275862069,0.706896551724138,2.43103448275862,4.56896551724138,20.0603448275862,0.439655172413793,0.551724137931034,0.543103448275862,1.53448275862069
"292","SW1P 4","SW"," 237 ",117,"0.0088%","0.0078%",2.08547008547009,0.239316239316239,0.341880341880342,0.461538461538462,0.196581196581197,0.0427350427350427,0.572649572649573,0.0256410256410256,0.324786324786325,0.0854700854700855,0.00854700854700855,0.35042735042735,0.35042735042735,1.22222222222222,6.30769230769231,0.128205128205128,0.717948717948718,0.435897435897436,1.28205128205128
"293","E15 2","E"," 346 ",117,"0.0128%","0.0078%",3.00854700854701,0.307692307692308,1.09401709401709,0.692307692307692,0.555555555555556,0.145299145299145,1.38461538461538,0.0769230769230769,0.418803418803419,0.538461538461538,0.188034188034188,0.35042735042735,1.11965811965812,3.64102564102564,13.5213675213675,0.299145299145299,0.905982905982906,0.726495726495726,1.93162393162393
"294","W1K 2","W"," -   ",118,"","0.0079%",0.449152542372881,0.0508474576271186,0.228813559322034,0.177966101694915,0.0847457627118644,0.0169491525423729,0.593220338983051,0.0254237288135593,0.245762711864407,0.0932203389830508,0.186440677966102,0.186440677966102,0.822033898305085,0.38135593220339,3.54237288135593,0.0254237288135593,0.559322033898305,0.0593220338983051,0.644067796610169
"295","SW20 9","SW"," 228 ",118,"0.0084%","0.0079%",1.34745762711864,0.101694915254237,0.957627118644068,0.254237288135593,0.11864406779661,0.076271186440678,0.593220338983051,0.0338983050847458,0.322033898305085,0.110169491525424,0.0423728813559322,0.00847457627118644,0.915254237288136,1.3728813559322,6.25423728813559,0.101694915254237,0.330508474576271,0.228813559322034,0.661016949152542
"296","SE11 5","SE"," 273 ",118,"0.0101%","0.0079%",4.26271186440678,0.491525423728814,0.923728813559322,0.949152542372881,1.43220338983051,0.186440677966102,2.72033898305085,0.271186440677966,0.923728813559322,0.711864406779661,0.406779661016949,1.02542372881356,1.11864406779661,4.03389830508475,19.4576271186441,0.296610169491525,0.61864406779661,1,1.91525423728814
"297","SE16 5","SE"," 419 ",118,"0.0155%","0.0079%",1.65254237288136,0.186440677966102,0.627118644067797,0.423728813559322,0.0932203389830508,0.0677966101694915,0.330508474576271,0.0169491525423729,0.228813559322034,0.11864406779661,0.00847457627118644,0.152542372881356,0.601694915254237,1.06779661016949,5.57627118644068,0.203389830508475,0.966101694915254,0.220338983050847,1.38983050847458
"298","NW11 0","NW"," 9 ",119,"0.0003%","0.0080%",1.05042016806723,0.0588235294117647,0.815126050420168,0.226890756302521,0.0504201680672269,0.0336134453781513,0.453781512605042,0.0252100840336134,0.184873949579832,0.0756302521008403,0.134453781512605,0.092436974789916,0.638655462184874,0.789915966386555,4.63025210084034,0.142857142857143,0.302521008403361,0.176470588235294,0.621848739495798
"299","W6 8","W"," 182 ",120,"0.0067%","0.0080%",3.93333333333333,1.00833333333333,0.85,0.883333333333333,0.366666666666667,0.158333333333333,2.975,0.133333333333333,0.975,0.266666666666667,0.183333333333333,0.391666666666667,1.70833333333333,4.575,18.4083333333333,0.15,0.566666666666667,0.416666666666667,1.13333333333333
"300","W7 2","W"," 210 ",120,"0.0078%","0.0080%",1.56666666666667,0.175,0.608333333333333,0.5,0.133333333333333,0.0416666666666667,0.55,0.0666666666666667,0.391666666666667,0.125,0.0666666666666667,0.0416666666666667,1.19166666666667,1.475,6.93333333333333,0.116666666666667,0.491666666666667,0.15,0.758333333333333
"301","N20 8","N"," 9 ",121,"0.0003%","0.0081%",0.446280991735537,0,0.528925619834711,0.198347107438017,0.00826446280991736,0,0.0991735537190083,0.00826446280991736,0.0826446280991736,0.0247933884297521,0,0.00826446280991736,0.363636363636364,0.40495867768595,2.17355371900826,0.0909090909090909,0.190082644628099,0.0909090909090909,0.371900826446281
"302","W12 8","W"," 27 ",121,"0.0010%","0.0081%",7.58677685950413,1.1404958677686,1.26446280991736,1.47107438016529,1.74380165289256,0.256198347107438,3.71900826446281,0.264462809917355,2.29752066115702,0.966942148760331,2.14876033057851,1.04132231404959,2.09917355371901,6.27272727272727,32.2727272727273,0.355371900826446,1.04132231404959,1.0495867768595,2.44628099173554
"303","N7 6","N"," 64 ",121,"0.0024%","0.0081%",4.09917355371901,0.710743801652893,1.71900826446281,1.39669421487603,0.578512396694215,0.140495867768595,3.28925619834711,0.115702479338843,1.63636363636364,2.09090909090909,3.03305785123967,3.82644628099174,2.47933884297521,5.04132231404959,30.1570247933884,0.31404958677686,0.735537190082645,0.388429752066116,1.43801652892562
"304","SW9 8","SW"," 164 ",121,"0.0061%","0.0081%",7.39669421487603,0.760330578512397,1.4297520661157,1.4297520661157,2.07438016528926,0.289256198347107,5.94214876033058,0.495867768595041,1.86776859504132,1.67768595041322,3.79338842975207,4.63636363636364,1.22314049586777,7.69421487603306,40.7107438016529,0.462809917355372,1.17355371900826,0.743801652892562,2.3801652892562
"305","SW1V 3","SW"," 255 ",121,"0.0094%","0.0081%",2.16528925619835,0.148760330578512,0.355371900826446,0.479338842975207,0.462809917355372,0.0495867768595041,0.694214876033058,0.0578512396694215,0.504132231404959,0.173553719008264,0.107438016528926,0.115702479338843,0.512396694214876,1.84297520661157,7.66942148760331,0.181818181818182,0.611570247933884,0.933884297520661,1.72727272727273
"306","SE22 9","SE"," 328 ",121,"0.0121%","0.0081%",1.51239669421488,0.239669421487603,1,0.545454545454545,0.132231404958678,0.0330578512396694,0.925619834710744,0.0578512396694215,0.297520661157025,0.388429752066116,0.289256198347107,0.297520661157025,1.21487603305785,1.56198347107438,8.49586776859504,0.115702479338843,0.495867768595041,0.165289256198347,0.776859504132231
"307","W3 0","W"," -   ",123,"","0.0082%",1.60975609756098,0.0569105691056911,0.886178861788618,0.471544715447154,0.170731707317073,0.0813008130081301,1.63414634146341,0.032520325203252,0.276422764227642,0.138211382113821,0.195121951219512,0.105691056910569,1.42276422764228,1.44715447154472,8.52845528455285,0.105691056910569,0.804878048780488,0.24390243902439,1.15447154471545
"308","W1W 6","W"," 9 ",123,"0.0003%","0.0082%",1.14634146341463,0.113821138211382,0.617886178861789,0.113821138211382,0.0487804878048781,0.024390243902439,0.682926829268293,0,0.146341463414634,0.170731707317073,0.130081300813008,0.617886178861789,0.341463414634146,0.626016260162602,4.78048780487805,0.0731707317073171,0.821138211382114,0.195121951219512,1.08943089430894
"309","NW1 1","NW"," 100 ",122,"0.0037%","0.0082%",6.76229508196721,0.409836065573771,0.89344262295082,0.795081967213115,0.69672131147541,0.0491803278688525,1.69672131147541,0.147540983606557,1.22950819672131,0.934426229508197,0.254098360655738,2.37704918032787,0.877049180327869,3.75409836065574,20.8770491803279,0.368852459016393,0.89344262295082,0.885245901639344,2.14754098360656
"310","SE8 4","SE"," 191 ",123,"0.0071%","0.0082%",4.70731707317073,0.40650406504065,1.27642276422764,1.08943089430894,0.536585365853659,0.211382113821138,1.98373983739837,0.121951219512195,1.07317073170732,0.772357723577236,0.813008130081301,0.373983739837398,1.26016260162602,4.26016260162602,18.8861788617886,0.398373983739837,1.09756097560976,0.59349593495935,2.08943089430894
